"Name","From","To","Shadow Ministers"
"Martin Ferguson",10/12/2006,06/12/2007,"Shadow Minister for Transport, Roads and Tourism"
"Martin Ferguson",02/07/2003,25/10/2004,"Shadow Minister for Urban and Regional Development"
"Martyn Evans",20/03/1996,21/10/1998,"Shadow Minister for Science and Information Technology"
"Martyn Evans",20/10/1998,23/11/2001,"Shadow Minister for Science and Resources"
"Michael John Lee",20/03/1996,21/10/1998,"Shadow Minister for Health"
"Michael Keenan",06/12/2007,22/09/2008,"Shadow Assistant Treasurer"
"Michael Keenan",22/09/2008,08/12/2009,"Shadow Minister for Employment and Workplace Relations"
"Michael Keenan",08/12/2009,14/09/2010,"Shadow Minister for Justice and Customs"
"Michael Keenan",14/09/2010,18/09/2013,"Shadow Minister for Justice, Customs and Border Protection"
"Michael Keenan",06/12/2007,22/09/2008,"Shadow Minister for Superannuation and Corporate Governance"
"Michael Lee",20/10/1998,23/11/2001,"Shadow Minister for Education"
"Michelle O'Byrne",18/02/2003,25/10/2004,"Shadow Parliamentary Secretary (Communications)"
"Mr Darren Chester MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Roads and Regional Transport"
"Mr Don Randall MP",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Local Government"
"Mr Jamie Briggs MP",03/03/2011,18/09/2013,"Chairman of the Scrutiny of Government Waste Committee"
"Mr Jamie Briggs MP",19/09/2012,18/09/2013,"Shadow Parliamentary Secretary for Supporting Families"
"Mr Luke Hartsuyker MP",03/03/2011,18/09/2013,"Deputy Manager of Opposition Business in the House"
"Mr Luke Hartsuyker MP",03/03/2011,18/09/2013,"Shadow Minister for Regional Communications"
"Mr Luke Hartsuyker MP",03/03/2011,18/09/2013,"Shadow Minister for Youth and Sport"
"Mr Michael Keenan MP",03/03/2011,18/09/2013,"Shadow Minister for Justice, Customs and Border Protection"
"Mr Scott Morrison MP",03/03/2011,18/09/2013,"Shadow Minister for Immigration and Citizenship"
"Mr Scott Morrison MP",03/03/2011,18/09/2013,"Shadow Minister for Productivity and Population"
"Mr Stuart Robert MP",03/03/2011,18/09/2013,"Shadow Minister for Defence Science, Technology and Personnel"
"Mrs Sophie Mirabella MP",03/03/2011,18/09/2013,"Shadow Minister for Innovation, Industry and Science"
"Neil O'Keefe",27/03/1997,21/10/1998,"Shadow Minister for Primary Industries"
"Neil O'Keefe",20/03/1996,27/03/1997,"Shadow Minister for Resources and Energy"
"Nicola Roxon",08/12/2003,10/12/2006,"Shadow Attorney-General"
"Nicola Roxon",18/02/2003,25/10/2004,"Shadow Minister Assisting the Leader of the Opposition on the Status of Women"
"Nicola Roxon",23/11/2001,02/07/2003,"Shadow Minister for Children and Youth"
"Nicola Roxon",10/12/2006,06/12/2007,"Shadow Minister for Health"
"Nicola Roxon",02/07/2003,08/12/2003,"Shadow Minister for Population and Immigration"
"Pat Farmer",06/12/2007,22/09/2008,"Shadow Minister for Youth and Sport"
"Peter Dutton",06/12/2007,22/09/2008,"Shadow Minister for Finance, Competition Policy and Deregulation"
"Peter Dutton",22/09/2008,18/09/2013,"Shadow Minister for Health and Ageing"
"Peter Garrett",10/12/2006,06/12/2007,"Shadow Minister for Climate Change, Environment and Heritage"
"Peter Garrett",24/06/2005,08/08/2005,"Shadow Minister for Reconciliation and the Arts"
"Peter Garrett",10/12/2006,06/12/2007,"Shadow Minister for the Arts"
"Peter Garrett",08/08/2005,10/12/2006,"Shadow Parliamentary Secretary for Reconciliation and the Arts"
"Peter Jeremy Baldwin",20/03/1996,27/03/1997,"Shadow Minister for Education and Youth Affairs"
"Peter Jeremy Baldwin",27/03/1997,26/08/1997,"Shadow Minister for Finance"
"Peter Lindsay",06/12/2007,08/12/2009,"Shadow Parliamentary Secretary for Defence"
"Peter Sid Sidebottom",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Primary Industries and Resources"
"Peter Sid Sidebottom",08/12/2003,25/10/2004,"Shadow Parliamentary Secretary (Agriculture and Resources)"
"Peter Sid Sidebottom",23/08/2002,02/07/2003,"Shadow Parliamentary Secretary (Primary Industries and Resources)"
"Peter Sid Sidebottom",02/07/2003,08/12/2003,"Shadow Parliamentary Secretary (Primary Industries)"
"Philip Ruddock",08/12/2009,14/09/2010,"Shadow Cabinet Secretary"
"Robert Francis McMullan",20/03/1996,27/03/1997,"Assistant to the Leader of the Opposition on Public Service Matters"
"Robert Francis McMullan",20/03/1996,26/08/1997,"Shadow Minister for Industrial Relations"
"Robert Francis McMullan",26/08/1997,21/10/1997,"Shadow Minister for Industrial Relations and the Arts"
"Robert Francis McMullan",21/10/1997,21/10/1998,"Shadow Minister for Industrial Relations, Finance and the Arts"
"Robert McClelland",20/10/1998,08/12/2003,"Shadow Attorney-General"
"Robert McClelland",26/10/2004,24/06/2005,"Shadow Minister Defence and Homeland Security"
"Robert McClelland",24/06/2005,10/12/2006,"Shadow Minister for Defence"
"Robert McClelland",10/12/2006,06/12/2007,"Shadow Minister for Foreign Affairs"
"Robert McClelland",08/12/2003,25/10/2004,"Shadow Minister for Homeland Security"
"Robert McClelland",02/07/2003,08/12/2003,"Shadow Minister for Justice and Community Security"
"Robert McClelland",23/11/2001,02/07/2003,"Shadow Minister for Workplace Relations"
"Rod Sawford",20/10/1998,05/09/2000,"House of Representatives Deputy Opposition Whip"
"Rod Sawford",20/03/1996,21/10/1998,"Opposition Whip"
"Scott Morrison",22/09/2008,08/12/2009,"Shadow Minister for Housing and Local Government"
"Scott Morrison",08/12/2009,18/09/2013,"Shadow Minister for Immigration and Citizenship"
"Scott Morrison",14/09/2010,18/09/2013,"Shadow Minister for Productivity and Population"
"Senator Annette Hurley",08/08/2005,10/12/2006,"Shadow Minister for Citizenship and Multicultural Affairs"
"Senator Arthur Sinodinos",19/09/2012,18/09/2013,"Shadow Parliamentary Secretary Assisting the Leader of the Opposition"
"Senator Barnaby Joyce",14/09/2010,18/09/2013,"Leader of The Nationals in the Senate"
"Senator Barnaby Joyce",08/12/2009,14/09/2010,"Shadow Minister for Finance and Debt Reduction"
"Senator Barnaby Joyce",14/09/2010,18/09/2013,"Shadow Minister for Regional Development, Local Government and Water"
"Senator Belinda Neal",20/03/1996,27/03/1997,"Assistant to the Shadow Minister for Health"
"Senator Belinda Neal",20/03/1996,27/03/1997,"Shadow Minister for Consumer Affairs"
"Senator Belinda Neal",27/03/1997,26/08/1997,"Shadow Minister for Consumer Affairs and Local Government"
"Senator Belinda Neal",26/08/1997,21/10/1998,"Shadow Minister for Consumer Affairs, Local Government, Housing and Childcare"
"Senator Brett Mason",14/09/2010,18/09/2013,"Shadow Minister for Universities and Research"
"Senator Brett Mason",06/12/2007,08/12/2009,"Shadow Parliamentary Secretary for Education"
"Senator Brett Mason",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Education and School Curriculum Standards"
"Senator Brett Mason",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Innovation, Industry, Science and Research"
"Senator Chris Ellison",06/12/2007,22/09/2008,"Manager of Opposition Business in the Senate"
"Senator Chris Ellison",06/12/2007,22/09/2008,"Shadow Minister for Immigration and Citizenship"
"Senator Chris Evans",26/10/2004,06/12/2007,"Leader of the Opposition in the Senate"
"Senator Chris Evans",20/03/1996,21/10/1998,"Senate Opposition Whip"
"Senator Chris Evans",23/11/2001,03/08/2004,"Shadow Minister for Defence"
"Senator Chris Evans",03/08/2004,25/10/2004,"Shadow Minister for Defence Procurement, Science and Personnel"
"Senator Chris Evans",24/06/2005,10/12/2006,"Shadow Minister for Family and Community Services"
"Senator Chris Evans",20/10/1998,23/11/2001,"Shadow Minister for Family Services and the Aged"
"Senator Chris Evans",24/06/2005,10/12/2006,"Shadow Minister for Indigenous Affairs"
"Senator Chris Evans",10/12/2006,06/12/2007,"Shadow Minister for National Development, Resources and Energy"
"Senator Chris Evans",06/12/2002,18/02/2003,"Shadow Minister for Reconciliation, Aboriginal and Torres Strait Islander Affairs"
"Senator Chris Evans",26/10/2004,24/06/2005,"Shadow Minister for Social Security"
"Senator Chris Schacht",20/10/1998,23/11/2001,"Shadow Minister for Veterans' Affairs"
"Senator Christopher Cleland Schacht",20/03/1996,21/10/1998,"Shadow Minister for Communications"
"Senator Concetta Fierravanti-Wells",08/12/2009,18/09/2013,"Shadow Minister for Ageing"
"Senator Concetta Fierravanti-Wells",14/09/2010,18/09/2013,"Shadow Minister for Mental Health"
"Senator Concetta Fierravanti-Wells",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Immigration and Shadow Parliamentary Secretary Assisting the Leader in the Senate"
"Senator Cory Bernardi",08/12/2009,19/09/2012,"Shadow Parliamentary Secretary Assisting the Leader of the Opposition"
"Senator Cory Bernardi",22/09/2008,19/02/2009,"Shadow Parliamentary Secretary for Disabilities, Carers and the Voluntary Sector"
"Senator Cory Bernardi",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Families and Community Services"
"Senator Cory Bernardi",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Infrastructure and Population Policy"
"Senator Cory Bernardi",14/09/2010,19/09/2012,"Shadow Parliamentary Secretary for Supporting Families"
"Senator David Johnston",22/09/2008,18/09/2013,"Shadow Minister for Defence"
"Senator David Johnston",06/12/2007,22/09/2008,"Shadow Minister for Resources and Energy"
"Senator David Johnston",06/12/2007,22/09/2008,"Shadow Minister for Tourism"
"Senator Dominic Foreman",20/03/1996,21/10/1997,"Senate Deputy Opposition Whip"
"Senator Eric Abetz",06/12/2007,03/05/2010,"Deputy Leader of the Opposition in the Senate"
"Senator Eric Abetz",03/05/2010,18/09/2013,"Leader of the Opposition in the Senate"
"Senator Eric Abetz",08/12/2009,18/09/2013,"Shadow Minister for Employment and Workplace Relations"
"Senator Eric Abetz",06/12/2007,08/12/2009,"Shadow Minister for Innovation, Industry, Science and Research"
"Senator Fiona Nash",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Regional Education"
"Senator Fiona Nash",22/09/2008,23/01/2009,"Shadow Parliamentary Secretary for Water Resources and Conservation"
"Senator Gary Humphries",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Citizenship"
"Senator Gary Humphries",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Defence Materiel"
"Senator Gary Humphries",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Families, Housing and Human Services"
"Senator Gary Humphries",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary to the Shadow Attorney-General"
"Senator George Brandis",03/05/2010,18/09/2013,"Deputy Leader of the Opposition in the Senate"
"Senator George Brandis",06/12/2007,18/09/2013,"Shadow Attorney-General"
"Senator George Brandis",14/09/2010,18/09/2013,"Shadow Minister for the Arts"
"Senator George Campbell",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister the Manufacturing Industry"
"Senator George Campbell",08/12/2003,25/10/2004,"Shadow Parliamentary Secretary (Industry, Innovation, Science and Research)"
"Senator George Campbell",23/08/2002,08/12/2003,"Shadow Parliamentary Secretary (Manufacturing Industries)"
"Senator Guy Barnett",08/12/2009,14/09/2010,"Chairman of the Scrutiny of Government Waste Committee"
"Senator Helen Coonan",22/09/2008,16/02/2009,"Manager of Opposition Business in the Senate"
"Senator Helen Coonan",16/02/2009,08/12/2009,"Shadow Minister for Finance, Competition Policy and Deregulation"
"Senator Helen Coonan",22/09/2008,16/02/2009,"Shadow Minister for Foreign Affairs"
"Senator Helen Coonan",06/12/2007,22/09/2008,"Shadow Minister for Human Services"
"Senator Ian Macdonald",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary Assisting the Leader of the Opposition in the Senate"
"Senator Ian Macdonald",08/12/2009,18/09/2013,"Shadow Parliamentary Secretary for Northern and Remote Australia"
"Senator Ian Macdonald",06/12/2007,08/12/2009,"Shadow Parliamentary Secretary for Northern Australia"
"Senator Ian Macdonald",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for the Defence Force and Defence Support"
"Senator Jacinta Collins",20/10/1998,05/09/2000,"Parliamentary Secretary to the Shadow Ministers for Industrial Relations and Employment, Training and Population"
"Senator Jacinta Collins",05/09/2000,23/11/2001,"Representing the Shadow Ministers for Industrial Relations and Employment, Training and Population in the Senate"
"Senator Jacinta Collins",02/07/2003,25/10/2004,"Shadow Minister for Children and Youth"
"Senator Jan McLucas",24/06/2005,10/12/2006,"Shadow Minister for Aged Care, Disabilities and Carers"
"Senator Jan McLucas",26/10/2004,24/06/2005,"Shadow Minister for Ageing and Disabilities"
"Senator Jan McLucas",10/12/2006,06/12/2007,"Shadow Minister for Ageing, Disabilities and Carers"
"Senator John Faulkner",20/10/1998,25/10/2004,"Leader of the Opposition in the Senate"
"Senator John Faulkner",18/02/2003,08/12/2003,"Shadow Minister for Home Affairs"
"Senator John Faulkner",20/10/1998,23/11/2001,"Shadow Minister for Olympic Coordination and the Centenary of Federation"
"Senator John Faulkner",08/12/2003,25/10/2004,"Shadow Minister for Public Administration and Accountability"
"Senator John Faulkner",20/10/1998,23/11/2001,"Shadow Minister for Public Administration and Government Services"
"Senator John Faulkner",23/11/2001,18/02/2003,"Shadow Minister for Public Administration and Home Affairs"
"Senator John Faulkner",18/02/2003,25/10/2004,"Shadow Special Minister of State"
"Senator John Philip Faulkner",20/03/1996,21/10/1998,"Leader of the Opposition in the Senate"
"Senator John Philip Faulkner",27/03/1997,26/08/1997,"Shadow Minister for Public Administration and Government Services"
"Senator John Philip Faulkner",26/08/1997,21/10/1998,"Shadow Minister for Public Administration, Government Services and Territories"
"Senator John Philip Faulkner",20/03/1996,27/03/1997,"Shadow Minister for Social Security"
"Senator John Quirke",20/10/1998,05/09/2000,"Senate Deputy Opposition Whip"
"Senator Joseph Ludwig",23/11/2001,06/12/2007,"Manager of Opposition Business in the Senate"
"Senator Joseph Ludwig",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Attorney-General"
"Senator Joseph Ludwig",09/03/2007,06/12/2007,"Shadow Attorney-General"
"Senator Joseph Ludwig",26/10/2004,24/06/2005,"Shadow Minister for Citizenship and Multicultural Affairs"
"Senator Joseph Ludwig",26/10/2004,09/03/2007,"Shadow Minister for Justice and Customs"
"Senator Joseph Ludwig",08/12/2003,25/10/2004,"Shadow Parliamentary Secretary (Attorney-General and Home Security)"
"Senator Joseph Ludwig",23/08/2002,08/12/2003,"Shadow Parliamentary Secretary (Attorney-General)"
"Senator Kate Lundy",26/08/1997,21/10/1998,"Assistant to the Shadow Ministers for Science and Information Technology, Youth Affairs and the Arts"
"Senator Kate Lundy",26/08/1997,21/10/1998,"Parliamentary Secretary to the Shadow Minister for Sport and Tourism"
"Senator Kate Lundy",20/10/1998,23/11/2001,"Shadow Minister Assisting the Shadow Minister for Industry and Technology on Information Technology"
"Senator Kate Lundy",02/07/2003,25/10/2004,"Shadow Minister for Information Technology"
"Senator Kate Lundy",23/11/2001,02/07/2003,"Shadow Minister for Information Technology and Sport"
"Senator Kate Lundy",10/12/2006,06/12/2007,"Shadow Minister for Local Government"
"Senator Kate Lundy",26/10/2004,24/06/2005,"Shadow Minister for Manufacturing, Consumer Affairs"
"Senator Kate Lundy",02/07/2003,08/12/2003,"Shadow Minister for Sport"
"Senator Kate Lundy",08/12/2003,25/10/2004,"Shadow Minister for Sport and Recreation"
"Senator Kate Lundy",24/06/2005,10/12/2006,"Shadow Minister for Sport and Recreation"
"Senator Kate Lundy",20/10/1998,23/11/2001,"Shadow Minister for Sport and Youth Affairs"
"Senator Kate Lundy",10/12/2006,06/12/2007,"Shadow Minister for Sport, Recreation and Health Promotion"
"Senator Kate Lundy",02/07/2003,25/10/2004,"Shadow Minister for the Arts"
"Senator Kay Denman",20/10/1998,05/09/2000,"Senate Deputy Opposition Whip"
"Senator Kerry O'Brien",20/10/1998,05/09/2000,"Senate Opposition Whip"
"Senator Kerry O'Brien",02/07/2003,08/12/2003,"Shadow Minister for Primary Industries"
"Senator Kerry O'Brien",23/11/2001,02/07/2003,"Shadow Minister for Primary Industries and Resources"
"Senator Kerry O'Brien",10/12/2006,06/12/2007,"Shadow Minister for Primary Industries, Fisheries and Forestry"
"Senator Kerry O'Brien",08/12/2003,25/10/2004,"Shadow Minister for Reconciliation and Indigenous Affairs"
"Senator Kerry O'Brien",26/10/2004,24/06/2005,"Shadow Minister for Regional Services, Local Government and Territories"
"Senator Kerry O'Brien",08/12/2003,25/10/2004,"Shadow Minister for Tourism, Regional Services and Territories"
"Senator Kerry O'Brien",24/06/2005,10/12/2006,"Shadow Minister for Transport"
"Senator Kim Carr",20/03/1996,27/03/1997,"Manager of Opposition Business"
"Senator Kim Carr",27/03/1997,23/11/2001,"Manager of Opposition Business in the Senate"
"Senator Kim Carr",27/03/1997,26/08/1997,"Parliamentary Secretary representing the Shadow Minister for Education and Youth Affairs in the Senate"
"Senator Kim Carr",20/03/1996,27/03/1997,"Parliamentary Secretary to Senate Opposition Leader"
"Senator Kim Carr",26/08/1997,05/09/2000,"Parliamentary Secretary to the Shadow Minister for Education"
"Senator Kim Carr",05/09/2000,23/11/2001,"Representing the Shadow Minister for Education in the Senate"
"Senator Kim Carr",24/06/2005,10/12/2006,"Shadow Minister for Housing and Urban Development"
"Senator Kim Carr",26/10/2004,24/06/2005,"Shadow Minister for Indigenous Affairs and Reconciliation"
"Senator Kim Carr",10/12/2006,06/12/2007,"Shadow Minister for Industry"
"Senator Kim Carr",02/07/2003,25/10/2004,"Shadow Minister for Industry and Innovation"
"Senator Kim Carr",10/12/2006,06/12/2007,"Shadow Minister for Innovation, Science and Research"
"Senator Kim Carr",24/06/2005,10/12/2006,"Shadow Minister for Local Government and Territories"
"Senator Kim Carr",26/10/2004,24/06/2005,"Shadow Minister for Public Administration and Open Government"
"Senator Kim Carr",23/11/2001,25/10/2004,"Shadow Minister for Science and Research"
"Senator Kim Carr",26/10/2004,24/06/2005,"Shadow Minister for the Arts"
"Senator Kim Carr",18/02/2003,08/12/2003,"Shadow Minister for the Public Service"
"Senator Marise Payne",14/09/2010,18/09/2013,"Shadow Minister for COAG"
"Senator Marise Payne",08/12/2009,14/09/2010,"Shadow Minister for COAG and Modernising the Federation"
"Senator Marise Payne",14/09/2010,18/09/2013,"Shadow Minister for Housing"
"Senator Marise Payne",14/09/2010,18/09/2013,"Shadow Minister for Indigenous Development and Employment"
"Senator Marise Payne",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Foreign Affairs"
"Senator Marise Payne",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Indigenous Affairs"
"Senator Marise Payne",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for International Development Assistance"
"Senator Mathias Cormann",14/09/2010,18/09/2013,"Shadow Assistant Treasurer"
"Senator Mathias Cormann",08/12/2009,14/09/2010,"Shadow Minister for Employment Participation, Apprenticeships and Training"
"Senator Mathias Cormann",14/09/2010,18/09/2013,"Shadow Minister for Financial Services and Superannuation"
"Senator Mathias Cormann",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Health Administration"
"Senator Michael Forshaw",27/03/1997,26/08/1997,"Parliamentary Secretary representing the Shadow Minister for Health in the Senate"
"Senator Michael Forshaw",20/10/1998,05/09/2000,"Parliamentary Secretary to the Shadow Minister for Agriculture, Fisheries and Forestry"
"Senator Michael Forshaw",26/08/1997,21/10/1998,"Parliamentary Secretary to the Shadow Ministers for Health and Primary Industries"
"Senator Michael Forshaw",05/09/2000,23/11/2001,"Representing the Shadow Minister for Agriculture, Fisheries and Forestry in the Senate"
"Senator Michael Forshaw",23/08/2002,25/10/2004,"Shadow Parliamentary Secretary (Family and Community Services)"
"Senator Michael Ronaldson",22/09/2008,08/12/2009,"Shadow Cabinet Secretary"
"Senator Michael Ronaldson",14/09/2010,18/09/2013,"Shadow Minister for Veterans' Affairs"
"Senator Michael Ronaldson",06/12/2007,08/12/2009,"Shadow Special Minister of State"
"Senator Michael Ronaldson",08/12/2009,14/09/2010,"Shadow Special Minister of State and Scrutiny of Government Waste"
"Senator Michaelia Cash",19/09/2012,18/09/2013,"Deputy Manager of Opposition Business in the Senate"
"Senator Michaelia Cash",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Immigration"
"Senator Michaelia Cash",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for the Status of Women"
"Senator Mitch Fifield",14/09/2010,18/09/2013,"Manager of Opposition Business in the Senate"
"Senator Mitch Fifield",14/09/2010,18/09/2013,"Shadow Minister for Disabilities, Carers and the Voluntary Sector"
"Senator Mitch Fifield",20/02/2009,14/09/2010,"Shadow Parliamentary Secretary for Disabilities, Carers and the Voluntary Sector"
"Senator Nick Bolkus",20/03/1996,21/10/1998,"Shadow Attorney-General"
"Senator Nick Bolkus",20/10/1998,23/11/2001,"Shadow Minister for Environment and Heritage"
"Senator Nick Bolkus",20/03/1996,21/10/1998,"Shadow Minister for Justice"
"Senator Nick Minchin",06/12/2007,03/05/2010,"Leader of the Opposition in the Senate"
"Senator Nick Minchin",22/09/2008,08/12/2009,"Shadow Minister for Broadband, Communications and the Digital Economy"
"Senator Nick Minchin",06/12/2007,22/09/2008,"Shadow Minister for Defence"
"Senator Nick Minchin",08/12/2009,14/09/2010,"Shadow Minister for Resources and Energy"
"Senator Nick Sherry",27/03/1997,26/08/1997,"Assistant to the Shadow Treasurer"
"Senator Nick Sherry",20/03/1996,21/10/1997,"Deputy Leader of the Opposition in the Senate"
"Senator Nick Sherry",24/06/2005,06/12/2007,"Shadow Minister for Banking and Financial Services"
"Senator Nick Sherry",23/11/2001,18/02/2003,"Shadow Minister for Consumer Affairs"
"Senator Nick Sherry",20/03/1996,27/03/1997,"Shadow Minister for Finance and Superannuation"
"Senator Nick Sherry",26/10/2004,24/06/2005,"Shadow Minister for Finance and Superannuation"
"Senator Nick Sherry",26/08/1997,21/10/1997,"Shadow Minister for Finance, Superannuation and Business Regulation"
"Senator Nick Sherry",23/11/2001,25/10/2004,"Shadow Minister for Retirement Incomes and Savings"
"Senator Nick Sherry",27/03/1997,26/08/1997,"Shadow Minister for Superannuation and Business Regulation"
"Senator Nick Sherry",24/06/2005,06/12/2007,"Shadow Minister for Superannuation and Intergenerational Finance"
"Senator Nigel Scullion",22/09/2008,18/09/2013,"Deputy Leader of the Nationals"
"Senator Nigel Scullion",06/12/2007,22/09/2008,"Shadow Minister for Agriculture, Fisheries and Forestry"
"Senator Nigel Scullion",22/09/2008,08/12/2009,"Shadow Minister for Human Services"
"Senator Nigel Scullion",08/12/2009,18/09/2013,"Shadow Minister for Indigenous Affairs"
"Senator Penny Wong",26/10/2004,24/06/2005,"Shadow Minister Employment and Workplace Participation"
"Senator Penny Wong",26/10/2004,06/12/2007,"Shadow Minister for Corporate Governance and Responsibility"
"Senator Penny Wong",24/06/2005,10/12/2006,"Shadow Minister for Employment and Workforce Participation"
"Senator Penny Wong",10/12/2006,06/12/2007,"Shadow Minister for Public Administration and Accountability"
"Senator Penny Wong",10/12/2006,06/12/2007,"Shadow Minister for Workforce Participation"
"Senator Peter Cook",20/10/1998,23/11/2001,"Deputy Leader of the Opposition in the Senate"
"Senator Peter Cook",08/12/2003,25/10/2004,"Parliamentary Secretary to the Leader of the Opposition"
"Senator Peter Cook",20/10/1998,23/11/2001,"Shadow Minister for Trade"
"Senator Peter Francis Salmon Cook",21/10/1997,21/10/1998,"Deputy Leader of the Opposition in the Senate"
"Senator Peter Francis Salmon Cook",20/03/1996,27/03/1997,"Shadow Minister for Commerce and Small Business"
"Senator Peter Francis Salmon Cook",27/03/1997,21/10/1998,"Shadow Minister for Trade"
"Senator Richard Colbeck",22/09/2008,14/09/2010,"Shadow Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"Senator Richard Colbeck",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Fisheries and Forestry"
"Senator Richard Colbeck",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Health"
"Senator Richard Colbeck",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Innovation, Industry and Science"
"Senator Robert Lindsay Collins",27/03/1997,26/08/1997,"Shadow Minister for Northern Australia and Territories"
"Senator Robert Lindsay Collins",20/03/1996,27/03/1997,"Shadow Minister for Primary Industries, Northern Australia and Territories"
"Senator Scott Ryan",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Small Business and Fair Competition"
"Senator Simon Birmingham",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for the Environment"
"Senator Simon Birmingham",08/12/2009,18/09/2013,"Shadow Parliamentary Secretary for the Murray Darling Basin"
"Senator Stephen Conroy",23/11/2001,06/12/2007,"Deputy Leader of the Opposition in the Senate"
"Senator Stephen Conroy",30/04/1996,21/10/1998,"Senate Deputy Opposition Whip"
"Senator Stephen Conroy",26/10/2004,06/12/2007,"Shadow Minister for Communications and Information Technology"
"Senator Stephen Conroy",23/11/2001,02/07/2003,"Shadow Minister for Finance, Small Business and Financial Services"
"Senator Stephen Conroy",20/10/1998,23/11/2001,"Shadow Minister for Financial Services and Regulation"
"Senator Stephen Conroy",08/12/2003,25/10/2004,"Shadow Minister for Trade, Corporate Governance and Financial Services"
"Senator Stephen Conroy",02/07/2003,08/12/2003,"Shadow Minister for Trade, Corporate Governance, Financial Services and Small Business"
"Senator Sue Mackay",26/08/1997,21/10/1998,"Parliamentary Secretary to the Shadow Ministers for Employment and Training, and for Industrial Relations"
"Senator Sue Mackay",20/10/1998,23/11/2001,"Shadow Minister for Regional Services, Territories and Local Government"
"Senator the Hon Brett Mason",03/03/2011,18/09/2013,"Shadow Minister for Universities and Research"
"Senator the Hon Eric Abetz",03/03/2011,18/09/2013,"Leader of the Opposition in the Senate"
"Senator the Hon Eric Abetz",03/03/2011,18/09/2013,"Shadow Minister for Employment and Workplace Relations"
"Senator the Hon George Brandis SC",03/03/2011,18/09/2013,"Deputy Leader of the Opposition in the Senate"
"Senator the Hon George Brandis SC",03/03/2011,18/09/2013,"Shadow Attorney-General"
"Senator the Hon George Brandis SC",03/03/2011,18/09/2013,"Shadow Minister for the Arts"
"Senator the Hon Ian Macdonald",03/03/2011,18/09/2013,"Shadow Parliamentary Secretaries"
"Senator the Hon Ian Macdonald",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for Northern and Remote Australia"
"Senator the Hon Ian Macdonald",03/03/2011,18/09/2013,"Shadow Parliamentary Secretary for the Defence Force and Defence Support"
"Senator the Hon Michael Ronaldson",03/03/2011,18/09/2013,"Shadow Minister Assisting the Leader of the Opposition on the Centenary of ANZAC"
"Senator the Hon Michael Ronaldson",03/03/2011,18/09/2013,"Shadow Minister for Veterans' Affairs"
"Senator the Hon Nigel Scullion",03/03/2011,18/09/2013,"Deputy Leader of The Nationals"
"Senator the Hon Nigel Scullion",03/03/2011,18/09/2013,"Shadow Minister for Indigenous Affairs"
"Senator Thomas Mark Bishop",20/10/1998,05/09/2000,"Parliamentary Secretary to the Shadow Minister for Communications"
"Senator Thomas Mark Bishop",05/09/2000,23/11/2001,"Representing the Shadow Minister for Communications in the Senate"
"Senator Thomas Mark Bishop",02/07/2003,25/10/2004,"Shadow Minister for Customs"
"Senator Thomas Mark Bishop",24/06/2005,10/12/2006,"Shadow Minister for Defence Industry, Procurement and Personnel"
"Senator Thomas Mark Bishop",23/11/2001,24/06/2005,"Shadow Minister for Veterans' Affairs"
"Senator Ursula Stephens",26/10/2004,24/06/2005,"Shadow Parliamentary Secretary for Regional Development (Senate)"
"Senator Ursula Stephens",24/06/2005,10/12/2006,"Shadow Parliamentary Secretary for Science and Water"
"Senator Ursula Stephens",10/12/2006,06/12/2007,"Shadow Parliamentary Secretary to the Leader of the Opposition (Social and Community Affairs)"
"Sharman Stone",08/12/2009,14/09/2010,"Shadow Minister for Early Childhood Education and Childcare"
